user_id,event_type,event_date
1,feature_B,2024-02-12
1,feature_A,2024-03-18
1,feature_A,2024-03-08
1,feature_B,2024-02-12
1,login,2024-03-04
1,feature_A,2024-03-03
1,feature_A,2024-03-24
1,login,2024-03-23
1,feature_C,2024-03-03
1,feature_A,2024-03-20
1,feature_A,2024-02-25
2,feature_C,2024-01-13
2,feature_A,2024-01-03
2,feature_C,2024-01-23
2,feature_A,2024-02-13
2,feature_A,2024-01-19
2,login,2024-02-15
2,login,2024-01-26
2,feature_A,2024-02-01
2,feature_C,2024-01-14
2,feature_B,2024-01-24
2,feature_A,2024-01-16
2,feature_A,2024-01-03
2,feature_B,2024-01-27
2,login,2024-01-19
2,feature_B,2024-01-19
3,feature_C,2024-02-17
3,feature_B,2024-02-28
3,login,2024-01-17
3,feature_A,2024-02-01
3,feature_B,2024-02-22
3,login,2024-01-18
3,feature_C,2024-02-23
3,feature_B,2024-02-07
3,login,2024-02-12
3,feature_A,2024-02-09
3,login,2024-02-01
3,feature_C,2024-03-01
3,feature_A,2024-01-16
4,login,2024-02-05
4,feature_B,2024-02-20
4,feature_B,2024-02-17
4,login,2024-02-20
4,feature_B,2024-01-28
4,feature_C,2024-02-20
4,feature_C,2024-01-29
4,feature_B,2024-02-22
5,feature_A,2024-02-21
5,feature_C,2024-03-10
5,feature_A,2024-03-27
5,feature_B,2024-03-23
5,login,2024-03-09
5,feature_B,2024-03-03
5,feature_C,2024-02-26
5,feature_B,2024-03-21
5,feature_C,2024-03-13
5,feature_A,2024-03-12
5,feature_C,2024-03-16
6,login,2024-02-17
6,feature_B,2024-02-25
6,feature_A,2024-02-12
6,feature_B,2024-03-21
6,feature_A,2024-02-21
6,login,2024-02-16
6,feature_A,2024-02-09
6,login,2024-03-08
6,feature_C,2024-03-07
6,feature_A,2024-03-18
6,feature_C,2024-03-23
6,feature_C,2024-03-09
6,feature_A,2024-02-22
6,login,2024-03-19
6,feature_C,2024-02-13
7,feature_C,2024-01-14
7,feature_A,2024-01-06
7,feature_C,2024-01-10
7,feature_C,2024-01-11
7,feature_B,2024-02-14
7,feature_C,2024-01-31
8,feature_A,2024-02-03
8,feature_C,2024-02-05
8,feature_A,2024-01-22
8,feature_B,2024-02-15
8,feature_C,2024-02-08
8,feature_A,2024-02-15
8,feature_C,2024-01-23
8,feature_B,2024-01-10
8,feature_B,2024-01-21
8,feature_B,2024-01-27
8,login,2024-02-09
9,feature_A,2024-01-24
9,feature_A,2024-02-08
9,feature_A,2024-02-29
9,feature_C,2024-01-19
9,feature_B,2024-02-10
10,feature_C,2024-03-05
10,feature_A,2024-02-08
10,feature_C,2024-03-02
10,login,2024-03-13
10,feature_C,2024-03-12
10,login,2024-03-06
10,feature_B,2024-02-27
10,feature_C,2024-02-29
10,feature_A,2024-03-10
10,feature_A,2024-03-07
10,feature_C,2024-02-22
11,feature_C,2024-02-16
11,feature_C,2024-03-07
11,feature_C,2024-02-25
11,login,2024-02-23
11,login,2024-03-11
11,feature_C,2024-02-20
11,feature_C,2024-02-23
11,login,2024-02-26
11,feature_C,2024-03-02
11,feature_A,2024-03-06
12,feature_B,2024-02-04
12,feature_B,2024-02-08
12,feature_B,2024-02-10
12,feature_C,2024-01-20
12,login,2024-01-16
12,feature_A,2024-02-06
12,login,2024-02-25
12,login,2024-02-25
12,feature_A,2024-01-16
12,login,2024-01-27
13,feature_A,2024-02-16
13,feature_C,2024-02-15
13,login,2024-03-20
13,feature_A,2024-03-14
13,feature_B,2024-03-07
13,feature_A,2024-03-01
13,login,2024-03-16
13,feature_B,2024-02-17
13,login,2024-02-13
13,feature_C,2024-02-26
13,feature_A,2024-03-03
13,feature_A,2024-02-11
14,feature_B,2024-04-05
14,login,2024-04-04
14,login,2024-03-28
14,feature_C,2024-03-14
15,login,2024-03-12
15,feature_B,2024-03-21
15,feature_C,2024-02-18
15,login,2024-03-20
15,feature_B,2024-03-16
15,feature_C,2024-03-29
15,feature_A,2024-04-03
15,feature_A,2024-03-16
15,feature_B,2024-03-22
15,feature_C,2024-03-28
15,feature_C,2024-03-18
15,feature_B,2024-03-26
15,feature_A,2024-03-09
16,feature_C,2024-03-02
16,feature_C,2024-02-29
16,feature_C,2024-03-21
16,login,2024-03-06
17,feature_A,2024-02-11
17,feature_A,2024-02-22
17,feature_B,2024-02-13
17,feature_B,2024-02-12
17,feature_B,2024-02-29
17,login,2024-02-26
17,feature_A,2024-02-24
17,feature_A,2024-01-27
17,feature_C,2024-02-17
17,feature_A,2024-02-26
18,feature_C,2024-02-09
18,login,2024-02-07
18,feature_B,2024-01-15
18,feature_C,2024-01-24
18,feature_A,2024-02-23
18,feature_B,2024-01-29
18,feature_B,2024-02-09
18,feature_B,2024-02-06
18,feature_C,2024-02-01
18,feature_B,2024-01-27
18,feature_A,2024-01-26
18,feature_A,2024-01-17
18,login,2024-01-30
18,feature_A,2024-02-13
19,feature_C,2024-03-02
19,feature_B,2024-03-06
